title,status,is_global,themes,profiles,link
Investir massivement dans la transition écologique et solidaire,IN_PROGRESS,,"Europe, Transition écologique","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Créer une Banque du climat,UPCOMING,,Transition écologique,,
Orienter l’épargne des Européens vers la croissance verte,UPCOMING,,Transition écologique,,
Consacrer 40% des dépenses européennes à la transition écologique,IN_PROGRESS,,Transition écologique,,
Rendre le budget européen 100% compatible avec l’Accord de Paris,IN_PROGRESS,,"Transition écologique, finances publiques ",,
Compléter le Pacte de Stabilité avec un Pacte de Soutenabilité,UPCOMING,,Transition écologique,,
Appliquer plus strictement le principe « pollueur-payeur » au sein de l’UE,IN_PROGRESS,,Transition écologique,,
Taxer le carbone des produits importés en Europe ,IN_PROGRESS,,Transition écologique,,
Fermer toutes les centrales fonctionnant aux énergies fossiles et sortir de tous les hydrocarbures d’ici 2050,IN_PROGRESS,,Transition écologique,,
Taxer le transport aérien au niveau européen,UPCOMING,,Transition écologique,,
Sortir du glyphosate d'ici 2021 et diviser par deux les pesticides d’ici 2025,IN_PROGRESS,,"Transition écologique, Agriculture, Santé",Agriculteur,
Rendre l’évaluation des produits chimiques plus transparente et indépendante des lobbies,UPCOMING,,"Transition écologique, Vie publique et Vie politique, agriculture",Agriculteur,
Créer une force de protection sanitaire contre les fraudes alimentaires,UPCOMING,,"Transition écologique, agriculture, Santé",Agriculteur,
Défendre le budget agricole pour assurer un revenu élevé à tous les agriculteurs,IN_PROGRESS,,"Transition écologique, agriculture, pouvoir d'achat, finances publiques",Agriculteur,
Orienter les aides agricoles vers les modèles propres partout en Europe,IN_PROGRESS,,"Transition écologique, agriculture",,
"Interdire les microplastiques ajoutés aux cosmétiques, détergents, peintures",UPCOMING,,Transition écologique,,
Mettre fin d’ici 2030 à l’importation de produits contribuant à la déforestation,UPCOMING,,Transition écologique,,
Passer de 4 à 30% de zones marines européennes protégées par Natura 2000,IN_PROGRESS,,"Transition écologique, mer",,
Viser un accord sur la protection de la biodiversité en 2020,IN_PROGRESS,,"Transition écologique, agriculture",,
Taxer les géants du numérique en Europe comme nous le faisons en France ,UPCOMING,,"Fiscalité, numérique","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Mettre fin à la règle de l’unanimité pour les décisions fiscales,IN_PROGRESS,,Fiscalité,,
Durcir fortement les sanctions contre les paradis fiscaux,UPCOMING,,Fiscalité,,
Défendre l’instauration d’un niveau minimal d’impôt mondial,IN_PROGRESS,,Fiscalité,,
Harmoniser l’impôt sur les sociétés,IN_PROGRESS,,Fiscalité,Indépendant ,
Mettre en œuvre un salaire minimum adapté à chaque pays européen,UPCOMING,,"Pouvoir d'achat, Entreprise",,
Mettre en place un acte II de la réforme du travail détaché,IN_PROGRESS,,Travail,,
"Préserver les aides européennes destinées aux plus
précaires",IN_PROGRESS,,Pauvreté,,
Instaurer des prêts pour une formation ou des études remboursables selon le revenu,UPCOMING,,Travail,Salarié,
Aider jusqu’à 20 000 euros chaque travailleur touché par les transformations numériques et écologiques,IN_PROGRESS,,"Travail, pouvoir d'achat",Salarié,
Créer de nouveaux droits et protections pour les 3 millions de travailleurs de plateforme,UPCOMING,,Travail,Salarié,
Interdire les entreprises ne respectant pas les exigences sociales et environnementales fondamentales,UPCOMING,,"Entreprises, Transition écologique","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Renforcer le mécanisme européen de contrôle des investissements étrangers,IN_PROGRESS,,Industrie,,
Exiger la réciprocité en matière de marchés publics,UPCOMING,,Industrie,,
Étendre les AOP aux produits issus de l’artisanat de nos régions,UPCOMING,,Entreprises,,
Permettre de transférer le capital d’une entreprise à une fondation,UPCOMING,,"Entreprises, Economie sociale et solidaire",,
Refonder la politique de concurrence européenne,IN_PROGRESS,,Entreprises,En recherche d'emploi,
Déployer un plan de soutien massif à l’industrie Made in Europe 2024,UPCOMING,,Industrie,,
Faire respecter les règles antidumping,IN_PROGRESS,,International,,
Créer un statut propre aux géants du numérique,UPCOMING,,"Numérique, Entreprises",,
Construire un Pacte avec l’Afrique,UPCOMING,,International,,
Mettre en œuvre un budget de la zone euro,IN_PROGRESS,,Finances publiques,,
Faire de l’euro la monnaie internationale de référence,UPCOMING,,International,,
Achever l’Union bancaire,IN_PROGRESS,,"International, Finances publiques",,
Créer un cyber-bouclier européen,IN_PROGRESS,,"Sécurité, Numérique",,
Développer une politique spatiale européenne souveraine,UPCOMING,,Industrie,,
"Investir en commun dans les équipements du futur (drones, chars)",IN_PROGRESS,,Défense,,
"Obliger le retrait de tout contenu internet haineux, terroriste ou pédopornographique",IN_PROGRESS,,"Justice, Sécurité",,
Créer une Agence européenne de protection des démocraties,UPCOMING,,"Justice, Vie publique et politique",,
Faire d’Europol une véritable police criminelle européenne,UPCOMING,,"Justice, Sécurité",,
Étendre les pouvoirs du Parquet européen,IN_PROGRESS,,"Justice, Sécurité",,
Créer un registre judiciaire antiterroriste commun pour partager les informations,UPCOMING,,"Justice, Sécurité",,
Renforcer le contrôle des mouvements financiers contre les terroristes,UPCOMING,,Justice,,
Construire une Politique européenne de l’asile et sauvegarder Schengen,UPCOMING,,Immigration et asile,"Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Créer un Office européen de l’asile,UPCOMING,,Immigration et asile,,
Mettre en place des Centres d’examen des demandes d’asile,UPCOMING,,Immigration et asile,,
Avancer vers la reconnaissance mutuelle des décisions,UPCOMING,,Immigration et asile,,
S’appuyer sur Europol pour démanteler les réseaux de passeurs,UPCOMING,,Immigration et asile,,
Atteindre l’effectif de 10 000 garde-frontières et garde-côtes au sein de Frontex,IN_PROGRESS,,Immigration et asile,,
Instaurer un Conseil européen de sécurité intérieure,UPCOMING,,"Immigration et asile, Sécurité",,
Augmenter les financements en faveur des retours volontaires,IN_PROGRESS,,Immigration et asile,,
Rendre effectifs les retours contraints,IN_PROGRESS,,Immigration et asile,,
Soutenir les initiatives locales d’intégration,UPCOMING,,Immigration et asile,,
"Ouvrir Erasmus à tous,
des collégiens aux apprentis",IN_PROGRESS,,"Éducation, apprentissage","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Tripler le budget du programme Erasmus,IN_PROGRESS,,Éducation,Etudiant,
Inclure un échange Erasmus dans toutes les formations d’ici 10 ans,UPCOMING,,Éducation,Etudiant,
Faciliter la reconnaissance des connaissances et savoirs-faire acquis à l’étranger,UPCOMING,,Éducation,"Etudiant,Salarié,En recherche d'emploi",
Généraliser les jumelages numériques en primaire et les mobilités au collège,UPCOMING,,Éducation,Etudiant,
Mettre en place un projet européen dans tous les établissements scolaires d’Europe,UPCOMING,,Éducation,Etudiant,
Créer une vingtaine d’Universités européennes d’ici 2024,IN_PROGRESS,,"Éducation, Enseignement supérieur et recherche",Etudiant,
"
Créer une plateforme européenne de candidature aux universités",UPCOMING,,Éducation,Etudiant,
Intégrer plus de jeunes dans le Corps européen de solidarité ,UPCOMING,,"Éducation, vie publique et politique",Etudiant,
Pérenniser notre système de volontariat (ex : pompiers),UPCOMING,,Société,,
Bâtir des résidences culturelles européennes,UPCOMING,,Culture,,
Aider les jeunes artistes européens par des bourses et des prix,UPCOMING,,"Culture, pouvoir d'achat",,
Dessiner des Chemins de la culture à travers les régions d’Europe,UPCOMING,,Culture,,
Renforcer la politique de protection du patrimoine en Europe,UPCOMING,,Culture,,
Conditionner le budget au respect de l’État de droit et la convergence sociale,IN_PROGRESS,,Vie publique et politique,"Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Donner au Parlement européen le pouvoir d’initier les lois européennes,UPCOMING,,Vie publique et politique,,
Permettre aux citoyens de participer à l’élaboration des lois,IN_PROGRESS,,Vie publique et politique,,
Limiter à trois dans le temps le nombre de mandats d’eurodéputé,UPCOMING,,Vie publique et politique,,
Adopter la directive contre toutes les discriminations,UPCOMING,,"Vie publique et politique, Société",,
Faire de l’accès à l’emploi des personnes handicapées une priorité en Europe,UPCOMING,,Vie publique et politique,,
Diminuer le nombre de commissaires européens,UPCOMING,,Vie publique et politique,,
Augmenter les ressources propres de l’UE sans augmenter les contributions nationales,UPCOMING,,Vie publique et politique,,
Créer un organe indépendant d’éthique au sein de toutes les institutions européennes,UPCOMING,,Vie publique et politique,,
Rendre publiques les rencontres avec les lobbies au sein des institutions européennes,UPCOMING,,Vie publique et politique,,
Interdire aux eurodéputés toute activité rémunérée incompatible avec l’intérêt général,UPCOMING,,Vie publique et politique,,
Controler l'exercice d'activités de lobbying des Commissaires après leur départ,UPCOMING,,Vie publique et politique,,
Contrôler les frais des eurodéputés,UPCOMING,,Vie publique et politique,,
Baisser le plafond de la rémunération des fonctionnaires européens,UPCOMING,,"Vie publique et politique, Action publique",,
Interdire le financement des partis politiques européens par des puissances étrangères et des entreprises,IN_PROGRESS,,Vie publique et politique,,
"Mettre en œuvre le ""Pacte Simone Veil"" pour harmoniser les droits des femmes",UPCOMING,,"Vie publique et politique, égalité Femmes/Hommes","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Établir la parité femmes/hommes au sein de toutes les institutions et agences européennes,UPCOMING,,"Vie publique et politique, égalité Femmes/Hommes, Action publique",,
"Organiser une Conférence pour l’Europe avec des dirigeants, experts et citoyens",UPCOMING,,Vie publique et politique,"Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
Avancer vers l'armée européenne,UPCOMING,,Défense,"Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",
